"Quarter","Economic_Sector","Employment","Average_Weekly_Earnings_Seasonally_Adjusted"
2015-01-01,"Other service activities (S)",24600,446.69
2015-01-01,"Industry (B to E)",207200,839.14
2015-01-01,"Electricity, water supply and waste management (D,E)",12700,1051.32
2015-01-01,"Financial, insurance and real estate activities (K,L)",91000,1002.06
2015-01-01,"Arts, entertainment, recreation and other service activities (R,S)",49500,471.13
2015-04-01,"Mining and quarrying (B)",7200,960.1
2015-04-01,"Manufacturing (C)",186200,830.83
2015-04-01,"Construction (F)",75100,700.33
2015-04-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",282800,533.27
2015-04-01,"Transportation and storage (H)",64800,750.92
2015-04-01,"Accommodation and food service activities (I)",148300,320.31
2015-04-01,"Information and communication (J)",61800,1068.47
2015-04-01,"Financial and insurance activities (K)",79000,1048.06
2015-04-01,"Real estate activities (L)",12000,714.92
2015-04-01,"Professional, scientific and technical activities (M)",85300,806.14
2015-04-01,"Administrative and support service activities (N)",78200,520.42
2015-04-01,"Public administration and defence; compulsory social security (O)",113000,925.91
2015-04-01,"Education (P)",136600,805.26
2015-04-01,"Human health and social work activities (Q)",226600,671.87
2015-04-01,"Arts, entertainment and recreation (R)",26000,502.22
2015-04-01,"Other service activities (S)",24300,456.14
2015-04-01,"Industry (B to E)",206000,846.37
2015-04-01,"Electricity, water supply and waste management (D,E)",12600,1040.29
2015-04-01,"Financial, insurance and real estate activities (K,L)",91000,1009.67
2015-04-01,"Arts, entertainment, recreation and other service activities (R,S)",50300,480.61
2015-07-01,"Mining and quarrying (B)",7100,957.26
2015-07-01,"Manufacturing (C)",191300,829.59
2015-07-01,"Construction (F)",77600,700.29
2015-07-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",285900,540.3
2015-07-01,"Transportation and storage (H)",63500,753.18
2015-07-01,"Accommodation and food service activities (I)",151300,316.76
2015-07-01,"Information and communication (J)",62800,1081.86
2015-07-01,"Financial and insurance activities (K)",78400,1066.05
2015-07-01,"Real estate activities (L)",10500,732.03
2015-07-01,"Professional, scientific and technical activities (M)",94000,816.66
2015-07-01,"Administrative and support service activities (N)",83200,524.67
2015-07-01,"Public administration and defence; compulsory social security (O)",113600,922.23
2015-07-01,"Education (P)",133400,804.88
2015-07-01,"Human health and social work activities (Q)",233000,673.12
2015-07-01,"Arts, entertainment and recreation (R)",27400,502.74
2015-07-01,"Other service activities (S)",24300,440.36
2015-07-01,"Industry (B to E)",211800,848.52
2015-07-01,"Electricity, water supply and waste management (D,E)",13300,1075.2
2015-07-01,"Financial, insurance and real estate activities (K,L)",88900,1022.78
2015-07-01,"Arts, entertainment, recreation and other service activities (R,S)",51700,472.27
2015-10-01,"Mining and quarrying (B)",5000,910.28
2015-10-01,"Manufacturing (C)",193800,827.1
2015-10-01,"Construction (F)",77600,727.9
2015-10-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",295200,544.57
2015-10-01,"Transportation and storage (H)",67000,744.63
2015-10-01,"Accommodation and food service activities (I)",154000,321.14
2015-10-01,"Information and communication (J)",63600,1087.15
2015-10-01,"Financial and insurance activities (K)",78200,1071.99
2015-10-01,"Real estate activities (L)",10400,752.93
2015-10-01,"Professional, scientific and technical activities (M)",89100,820.7
2015-10-01,"Administrative and support service activities (N)",83400,524
2015-10-01,"Public administration and defence; compulsory social security (O)",111300,927.54
2015-10-01,"Education (P)",138800,812.1
2015-10-01,"Human health and social work activities (Q)",232800,677.88
2015-10-01,"Arts, entertainment and recreation (R)",24900,503.09
2015-10-01,"Other service activities (S)",23800,434.44
2015-10-01,"Industry (B to E)",212000,843.51
2015-10-01,"Electricity, water supply and waste management (D,E)",13100,1053.4
2015-10-01,"Financial, insurance and real estate activities (K,L)",88500,1028.94
2015-10-01,"Arts, entertainment, recreation and other service activities (R,S)",48700,470.14
2016-01-01,"Mining and quarrying (B)",5300,949.12
2016-01-01,"Manufacturing (C)",193000,830.24
2016-01-01,"Construction (F)",81200,730.37
2016-01-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",288100,544.72
2016-01-01,"Transportation and storage (H)",67700,751.33
2016-01-01,"Accommodation and food service activities (I)",151800,327.16
2016-01-01,"Information and communication (J)",63800,1106.56
2016-01-01,"Financial and insurance activities (K)",81500,1127.76
2016-01-01,"Real estate activities (L)",10100,795.4
2016-01-01,"Professional, scientific and technical activities (M)",82300,843.66
2016-01-01,"Administrative and support service activities (N)",84300,518.36
2016-01-01,"Public administration and defence; compulsory social security (O)",109800,897.86
2016-01-01,"Education (P)",139600,801.92
2016-01-01,"Human health and social work activities (Q)",228700,679.97
2016-01-01,"Arts, entertainment and recreation (R)",28600,498.68
2016-01-01,"Other service activities (S)",22800,448.97
2016-01-01,"Industry (B to E)",212000,848.4
2016-01-01,"Electricity, water supply and waste management (D,E)",13600,1074.65
2016-01-01,"Financial, insurance and real estate activities (K,L)",91600,1096.93
2016-01-01,"Arts, entertainment, recreation and other service activities (R,S)",51400,477.55
2016-04-01,"Mining and quarrying (B)",5200,951.36
2016-04-01,"Manufacturing (C)",198900,837.99
2016-04-01,"Construction (F)",87500,742.81
2016-04-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",291100,548.84
2016-04-01,"Transportation and storage (H)",66800,760.68
2016-04-01,"Accommodation and food service activities (I)",156000,328.78
2016-04-01,"Information and communication (J)",64600,1059.22
2016-04-01,"Financial and insurance activities (K)",82400,1087.74
2016-04-01,"Real estate activities (L)",11800,718.65
2016-04-01,"Professional, scientific and technical activities (M)",88800,853.58
2016-04-01,"Administrative and support service activities (N)",85700,513.39
2016-04-01,"Public administration and defence; compulsory social security (O)",117300,894.56
2016-04-01,"Education (P)",138200,800.05
2016-04-01,"Human health and social work activities (Q)",231400,679.05
2016-04-01,"Arts, entertainment and recreation (R)",29900,482.32
2016-04-01,"Other service activities (S)",23300,441.96
2016-04-01,"Industry (B to E)",216400,853.09
2016-04-01,"Electricity, water supply and waste management (D,E)",12300,1067.88
2016-04-01,"Financial, insurance and real estate activities (K,L)",94300,1044.98
2016-04-01,"Arts, entertainment, recreation and other service activities (R,S)",53300,464.33
2016-07-01,"Mining and quarrying (B)",4600,942.25
2016-07-01,"Manufacturing (C)",207100,838.42
2016-07-01,"Construction (F)",87600,737.41
2016-07-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",299700,551.93
2016-07-01,"Transportation and storage (H)",68300,755.83
2016-07-01,"Accommodation and food service activities (I)",165700,333.68
2016-07-01,"Information and communication (J)",66800,1073.04
2016-07-01,"Financial and insurance activities (K)",83300,1079.88
2016-07-01,"Real estate activities (L)",10200,734.83
2016-07-01,"Professional, scientific and technical activities (M)",96700,858.41
2016-07-01,"Administrative and support service activities (N)",80400,524.65
2016-07-01,"Public administration and defence; compulsory social security (O)",111000,926.84
2016-07-01,"Education (P)",136400,798.41
2016-07-01,"Human health and social work activities (Q)",234800,692.02
2016-07-01,"Arts, entertainment and recreation (R)",30200,501.23
2016-07-01,"Other service activities (S)",24300,451.89
2016-07-01,"Industry (B to E)",226400,856.29
2016-07-01,"Electricity, water supply and waste management (D,E)",14700,1103.05
2016-07-01,"Financial, insurance and real estate activities (K,L)",93500,1031.18
2016-07-01,"Arts, entertainment, recreation and other service activities (R,S)",54500,478.63
2016-10-01,"Mining and quarrying (B)",4600,916.87
2016-10-01,"Manufacturing (C)",201800,843.49
2016-10-01,"Construction (F)",90200,731.92
2016-10-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",304100,564.11
2016-10-01,"Transportation and storage (H)",71800,764.9
2016-10-01,"Accommodation and food service activities (I)",158000,332.35
2016-10-01,"Information and communication (J)",68400,1064.95
2016-10-01,"Financial and insurance activities (K)",82300,1096.77
2016-10-01,"Real estate activities (L)",12000,730.56
2016-10-01,"Professional, scientific and technical activities (M)",96500,875.22
2016-10-01,"Administrative and support service activities (N)",81600,529.36
2016-10-01,"Public administration and defence; compulsory social security (O)",112500,921.12
2016-10-01,"Education (P)",144900,802.79
2016-10-01,"Human health and social work activities (Q)",237400,680.45
2016-10-01,"Arts, entertainment and recreation (R)",28600,482.51
2016-10-01,"Other service activities (S)",25900,456.32
2016-10-01,"Industry (B to E)",220400,865.04
2016-10-01,"Electricity, water supply and waste management (D,E)",14000,1146.32
2016-10-01,"Financial, insurance and real estate activities (K,L)",94200,1053.1
2016-10-01,"Arts, entertainment, recreation and other service activities (R,S)",54500,470.92
2017-01-01,"Mining and quarrying (B)",5400,898.04
2017-01-01,"Manufacturing (C)",202500,843.09
2017-01-01,"Construction (F)",94800,759.65
2017-01-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",299400,555.14
2017-01-01,"Transportation and storage (H)",70000,772.09
2017-01-01,"Accommodation and food service activities (I)",166100,334.43
2017-01-01,"Information and communication (J)",68700,1059.71
