"Quarter","Economic_Sector","Employment","Average_Weekly_Earnings_Seasonally_Adjusted"
2019-10-01,"Industry (B to E)",233400,916.18
2019-10-01,"Electricity, water supply and waste management (D,E)",15500,1098.28
2019-10-01,"Financial, insurance and real estate activities (K,L)",99000,1189.78
2019-10-01,"Arts, entertainment, recreation and other service activities (R,S)",55000,517.23
2020-01-01,"Mining and quarrying (B)",6700,952.52
2020-01-01,"Manufacturing (C)",212300,894.41
2020-01-01,"Construction (F)",112900,853.75
2020-01-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",311200,623.59
2020-01-01,"Transportation and storage (H)",82400,844.33
2020-01-01,"Accommodation and food service activities (I)",176800,368.96
2020-01-01,"Information and communication (J)",79700,1260.88
2020-01-01,"Financial and insurance activities (K)",91200,1235.99
2020-01-01,"Real estate activities (L)",11200,725.92
2020-01-01,"Professional, scientific and technical activities (M)",106100,957.69
2020-01-01,"Administrative and support service activities (N)",109000,626.94
2020-01-01,"Public administration and defence; compulsory social security (O)",140800,974.39
2020-01-01,"Education (P)",179000,871.17
2020-01-01,"Human health and social work activities (Q)",253300,760.29
2020-01-01,"Arts, entertainment and recreation (R)",28900,576.41
2020-01-01,"Other service activities (S)",25700,493.33
2020-01-01,"Industry (B to E)",232900,910.32
2020-01-01,"Electricity, water supply and waste management (D,E)",14000,1141.13
2020-01-01,"Financial, insurance and real estate activities (K,L)",102300,1178.96
2020-01-01,"Arts, entertainment, recreation and other service activities (R,S)",54600,540.66
2020-04-01,"Mining and quarrying (B)",4200,943.6
2020-04-01,"Manufacturing (C)",215700,893.89
2020-04-01,"Construction (F)",96400,774.09
2020-04-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",288400,597.53
2020-04-01,"Transportation and storage (H)",74400,794.77
2020-04-01,"Accommodation and food service activities (I)",128300,403.72
2020-04-01,"Information and communication (J)",85000,1288.46
2020-04-01,"Financial and insurance activities (K)",99100,1242.07
2020-04-01,"Real estate activities (L)",13500,697
2020-04-01,"Professional, scientific and technical activities (M)",99600,924.76
2020-04-01,"Administrative and support service activities (N)",87500,615.16
2020-04-01,"Public administration and defence; compulsory social security (O)",146100,987.44
2020-04-01,"Education (P)",182200,892.64
2020-04-01,"Human health and social work activities (Q)",248100,765.15
2020-04-01,"Arts, entertainment and recreation (R)",25200,599.42
2020-04-01,"Other service activities (S)",21100,565.33
2020-04-01,"Industry (B to E)",235800,909.98
2020-04-01,"Electricity, water supply and waste management (D,E)",15900,1124.45
2020-04-01,"Financial, insurance and real estate activities (K,L)",112500,1173.61
2020-04-01,"Arts, entertainment, recreation and other service activities (R,S)",46300,583.49
2020-07-01,"Mining and quarrying (B)",5000,960.26
2020-07-01,"Manufacturing (C)",222300,906.9
2020-07-01,"Construction (F)",108100,815.87
2020-07-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",312600,611.97
2020-07-01,"Transportation and storage (H)",81600,785.9
2020-07-01,"Accommodation and food service activities (I)",152500,383.88
2020-07-01,"Information and communication (J)",80800,1293.48
2020-07-01,"Financial and insurance activities (K)",92800,1253.8
2020-07-01,"Real estate activities (L)",11900,704.81
2020-07-01,"Professional, scientific and technical activities (M)",102100,928.97
2020-07-01,"Administrative and support service activities (N)",88100,634.66
2020-07-01,"Public administration and defence; compulsory social security (O)",146300,985.06
2020-07-01,"Education (P)",174200,893.3
2020-07-01,"Human health and social work activities (Q)",253800,762.99
2020-07-01,"Arts, entertainment and recreation (R)",25100,537.58
2020-07-01,"Other service activities (S)",28500,517.09
2020-07-01,"Industry (B to E)",246700,924.41
2020-07-01,"Electricity, water supply and waste management (D,E)",19300,1118.33
2020-07-01,"Financial, insurance and real estate activities (K,L)",104800,1193.32
2020-07-01,"Arts, entertainment, recreation and other service activities (R,S)",53600,525.4
2020-10-01,"Mining and quarrying (B)",4500,1001.06
2020-10-01,"Manufacturing (C)",225300,935.61
2020-10-01,"Construction (F)",107300,865.1
2020-10-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",325700,627.16
2020-10-01,"Transportation and storage (H)",84000,790.53
2020-10-01,"Accommodation and food service activities (I)",132800,390.59
2020-10-01,"Information and communication (J)",87800,1332.04
2020-10-01,"Financial and insurance activities (K)",92500,1264.06
2020-10-01,"Real estate activities (L)",12200,748.62
2020-10-01,"Professional, scientific and technical activities (M)",103000,1023.41
2020-10-01,"Administrative and support service activities (N)",78000,656.85
2020-10-01,"Public administration and defence; compulsory social security (O)",149900,1007.69
2020-10-01,"Education (P)",182900,903.39
2020-10-01,"Human health and social work activities (Q)",251900,764.38
2020-10-01,"Arts, entertainment and recreation (R)",19900,593.62
2020-10-01,"Other service activities (S)",26100,517.69
2020-10-01,"Industry (B to E)",245800,952.24
2020-10-01,"Electricity, water supply and waste management (D,E)",15900,1187.08
2020-10-01,"Financial, insurance and real estate activities (K,L)",104600,1204.31
2020-10-01,"Arts, entertainment, recreation and other service activities (R,S)",45900,550.71
2021-01-01,"Mining and quarrying (B)",4800,1015.25
2021-01-01,"Manufacturing (C)",232300,950.13
2021-01-01,"Construction (F)",100700,828.09
2021-01-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",308200,626.87
2021-01-01,"Transportation and storage (H)",75500,772.15
2021-01-01,"Accommodation and food service activities (I)",102300,395.2
2021-01-01,"Information and communication (J)",89000,1353.98
2021-01-01,"Financial and insurance activities (K)",94200,1278.3
2021-01-01,"Real estate activities (L)",11100,719.79
2021-01-01,"Professional, scientific and technical activities (M)",104000,992.38
2021-01-01,"Administrative and support service activities (N)",80100,678.9
2021-01-01,"Public administration and defence; compulsory social security (O)",152200,1014.55
2021-01-01,"Education (P)",192900,933.84
2021-01-01,"Human health and social work activities (Q)",255300,799.73
2021-01-01,"Arts, entertainment and recreation (R)",16100,647.65
2021-01-01,"Other service activities (S)",23700,564.52
2021-01-01,"Industry (B to E)",252100,965.37
2021-01-01,"Electricity, water supply and waste management (D,E)",15000,1158.91
2021-01-01,"Financial, insurance and real estate activities (K,L)",105300,1220.26
2021-01-01,"Arts, entertainment, recreation and other service activities (R,S)",39700,601.25
2021-04-01,"Mining and quarrying (B)",4300,1007.6
2021-04-01,"Manufacturing (C)",234400,938.2
2021-04-01,"Construction (F)",101200,838.94
2021-04-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",306400,631.03
2021-04-01,"Transportation and storage (H)",80200,779.45
2021-04-01,"Accommodation and food service activities (I)",125000,375.5
2021-04-01,"Information and communication (J)",90300,1324.66
2021-04-01,"Financial and insurance activities (K)",102800,1284.08
2021-04-01,"Real estate activities (L)",10300,731.5
2021-04-01,"Professional, scientific and technical activities (M)",115900,1033.1
2021-04-01,"Administrative and support service activities (N)",92500,699.78
2021-04-01,"Public administration and defence; compulsory social security (O)",158800,1011.21
2021-04-01,"Education (P)",198500,940.97
2021-04-01,"Human health and social work activities (Q)",267200,787.26
2021-04-01,"Arts, entertainment and recreation (R)",21700,630.54
2021-04-01,"Other service activities (S)",25100,500.29
2021-04-01,"Industry (B to E)",255600,952.81
2021-04-01,"Electricity, water supply and waste management (D,E)",16800,1142.3
2021-04-01,"Financial, insurance and real estate activities (K,L)",113100,1231.76
2021-04-01,"Arts, entertainment, recreation and other service activities (R,S)",46800,558.12
2021-07-01,"Mining and quarrying (B)",4600,1004.19
2021-07-01,"Manufacturing (C)",230300,958.06
2021-07-01,"Construction (F)",114300,868.08
2021-07-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",314100,636.37
2021-07-01,"Transportation and storage (H)",88000,786.35
2021-07-01,"Accommodation and food service activities (I)",184800,400.33
2021-07-01,"Information and communication (J)",96200,1364.45
2021-07-01,"Financial and insurance activities (K)",107500,1291.58
2021-07-01,"Real estate activities (L)",14400,775.43
2021-07-01,"Professional, scientific and technical activities (M)",118700,1060.18
2021-07-01,"Administrative and support service activities (N)",98200,695.08
2021-07-01,"Public administration and defence; compulsory social security (O)",153800,1013.12
2021-07-01,"Education (P)",194300,951.87
2021-07-01,"Human health and social work activities (Q)",270500,793.61
2021-07-01,"Arts, entertainment and recreation (R)",26200,596.76
2021-07-01,"Other service activities (S)",26700,524.72
2021-07-01,"Industry (B to E)",252000,968.82
2021-07-01,"Electricity, water supply and waste management (D,E)",17100,1131.01
2021-07-01,"Financial, insurance and real estate activities (K,L)",121900,1226.44
2021-07-01,"Arts, entertainment, recreation and other service activities (R,S)",53000,559.92
2021-10-01,"Mining and quarrying (B)",5700,1029.2
2021-10-01,"Manufacturing (C)",234400,967.9
2021-10-01,"Construction (F)",126200,891.92
2021-10-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",312700,650.68
2021-10-01,"Transportation and storage (H)",83800,801.5
2021-10-01,"Accommodation and food service activities (I)",166200,392.35
2021-10-01,"Information and communication (J)",110000,1400.69
2021-10-01,"Financial and insurance activities (K)",104200,1304.38
2021-10-01,"Real estate activities (L)",12700,789.03
2021-10-01,"Professional, scientific and technical activities (M)",128100,1067.21
2021-10-01,"Administrative and support service activities (N)",93800,689.17
2021-10-01,"Public administration and defence; compulsory social security (O)",165500,1007.58
2021-10-01,"Education (P)",198000,924.04
2021-10-01,"Human health and social work activities (Q)",281300,804.19
2021-10-01,"Arts, entertainment and recreation (R)",30000,630.43
2021-10-01,"Other service activities (S)",23200,533.8
2021-10-01,"Industry (B to E)",256300,978.93
2021-10-01,"Electricity, water supply and waste management (D,E)",16200,1130.09
2021-10-01,"Financial, insurance and real estate activities (K,L)",116900,1244.6
2021-10-01,"Arts, entertainment, recreation and other service activities (R,S)",53200,586.53
2022-01-01,"Mining and quarrying (B)",4800,1062.72
2022-01-01,"Manufacturing (C)",235600,966.64
2022-01-01,"Construction (F)",128000,898.34
2022-01-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",308700,658.75
2022-01-01,"Transportation and storage (H)",91900,837.18
2022-01-01,"Accommodation and food service activities (I)",168900,395.29
2022-01-01,"Information and communication (J)",107300,1427.38
2022-01-01,"Financial and insurance activities (K)",104200,1319.2
2022-01-01,"Real estate activities (L)",15800,787.57
2022-01-01,"Professional, scientific and technical activities (M)",120800,1086.8
2022-01-01,"Administrative and support service activities (N)",101400,715.54
2022-01-01,"Public administration and defence; compulsory social security (O)",167000,999.19
2022-01-01,"Education (P)",198100,929.03
2022-01-01,"Human health and social work activities (Q)",286500,809.19
2022-01-01,"Arts, entertainment and recreation (R)",24500,660.61
2022-01-01,"Other service activities (S)",22700,562.36
2022-01-01,"Industry (B to E)",259300,981.27
2022-01-01,"Electricity, water supply and waste management (D,E)",18900,1137.18
2022-01-01,"Financial, insurance and real estate activities (K,L)",120100,1254.31
2022-01-01,"Arts, entertainment, recreation and other service activities (R,S)",47200,619.26
2022-04-01,"Mining and quarrying (B)",3800,1140.07
2022-04-01,"Manufacturing (C)",238500,985.71
2022-04-01,"Construction (F)",129900,925.19
2022-04-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",326600,662.21
2022-04-01,"Transportation and storage (H)",86500,851.21
2022-04-01,"Accommodation and food service activities (I)",171900,405.65
2022-04-01,"Information and communication (J)",107700,1474.11
2022-04-01,"Financial and insurance activities (K)",102800,1315.73
2022-04-01,"Real estate activities (L)",12200,819.43
2022-04-01,"Professional, scientific and technical activities (M)",121100,1073.91
2022-04-01,"Administrative and support service activities (N)",103400,695.53
2022-04-01,"Public administration and defence; compulsory social security (O)",157400,1006.88
2022-04-01,"Education (P)",202700,930.56
2022-04-01,"Human health and social work activities (Q)",293800,818.89
2022-04-01,"Arts, entertainment and recreation (R)",26000,633.29
2022-04-01,"Other service activities (S)",23500,556.44
2022-04-01,"Industry (B to E)",262600,1003.14
2022-04-01,"Electricity, water supply and waste management (D,E)",20300,1176.03
2022-04-01,"Financial, insurance and real estate activities (K,L)",115000,1257.31
2022-04-01,"Arts, entertainment, recreation and other service activities (R,S)",49500,593.52
2022-07-01,"Mining and quarrying (B)",6300,1169.52
2022-07-01,"Manufacturing (C)",244100,987.37
2022-07-01,"Construction (F)",135300,919.57
2022-07-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",322000,652.71
2022-07-01,"Transportation and storage (H)",86500,864.03
2022-07-01,"Accommodation and food service activities (I)",174900,419.22
2022-07-01,"Information and communication (J)",104600,1530.75
2022-07-01,"Financial and insurance activities (K)",99900,1350.41
2022-07-01,"Real estate activities (L)",11500,836.52
2022-07-01,"Professional, scientific and technical activities (M)",119900,1061.11
2022-07-01,"Administrative and support service activities (N)",107100,699.73
2022-07-01,"Public administration and defence; compulsory social security (O)",164200,1027.19
2022-07-01,"Education (P)",193800,937.11
2022-07-01,"Human health and social work activities (Q)",295400,832.09
2022-07-01,"Arts, entertainment and recreation (R)",26900,606.62
2022-07-01,"Other service activities (S)",24900,533.04
2022-07-01,"Industry (B to E)",271200,1008.46
2022-07-01,"Electricity, water supply and waste management (D,E)",20800,1203.92
2022-07-01,"Financial, insurance and real estate activities (K,L)",111400,1289.6
2022-07-01,"Arts, entertainment, recreation and other service activities (R,S)",51800,570.85
2022-10-01,"Mining and quarrying (B)",7500,1179.81
2022-10-01,"Manufacturing (C)",236800,998.22
2022-10-01,"Construction (F)",129000,917.14
2022-10-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",326300,643.78
2022-10-01,"Transportation and storage (H)",93600,859.73
2022-10-01,"Accommodation and food service activities (I)",175700,412.39
2022-10-01,"Information and communication (J)",106700,1544.83
2022-10-01,"Financial and insurance activities (K)",103600,1377.3
2022-10-01,"Real estate activities (L)",14400,778.32
2022-10-01,"Professional, scientific and technical activities (M)",122700,1077.7
2022-10-01,"Administrative and support service activities (N)",108000,700.18
2022-10-01,"Public administration and defence; compulsory social security (O)",170900,1116.89
2022-10-01,"Education (P)",192900,993.08
2022-10-01,"Human health and social work activities (Q)",293300,857.1
2022-10-01,"Arts, entertainment and recreation (R)",27300,629.22
2022-10-01,"Other service activities (S)",25000,538.07
2022-10-01,"Industry (B to E)",264800,1022.12
2022-10-01,"Electricity, water supply and waste management (D,E)",20500,1239.66
2022-10-01,"Financial, insurance and real estate activities (K,L)",118100,1310.14
2022-10-01,"Arts, entertainment, recreation and other service activities (R,S)",52200,584.81
2023-01-01,"Mining and quarrying (B)",6100,1294.32
2023-01-01,"Manufacturing (C)",243800,1022.85
2023-01-01,"Construction (F)",127000,907.03
2023-01-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",342300,668.07
2023-01-01,"Transportation and storage (H)",87700,866.76
2023-01-01,"Accommodation and food service activities (I)",175600,426.26
2023-01-01,"Information and communication (J)",108800,1557.15
2023-01-01,"Financial and insurance activities (K)",105600,1390.06
2023-01-01,"Real estate activities (L)",11700,782.05
2023-01-01,"Professional, scientific and technical activities (M)",123800,1080.69
2023-01-01,"Administrative and support service activities (N)",110700,712.51
2023-01-01,"Public administration and defence; compulsory social security (O)",172100,1088.34
2023-01-01,"Education (P)",197400,974.37
2023-01-01,"Human health and social work activities (Q)",300300,856.46
2023-01-01,"Arts, entertainment and recreation (R)",29200,611.31
2023-01-01,"Other service activities (S)",23000,553.93
2023-01-01,"Industry (B to E)",269600,1045.39
2023-01-01,"Electricity, water supply and waste management (D,E)",19700,1247.66
2023-01-01,"Financial, insurance and real estate activities (K,L)",117300,1325.8
2023-01-01,"Arts, entertainment, recreation and other service activities (R,S)",52100,593.15
2023-04-01,"Mining and quarrying (B)",5800,1243.93
2023-04-01,"Manufacturing (C)",230100,1033.02
2023-04-01,"Construction (F)",140600,902.97
2023-04-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",342500,670.3
2023-04-01,"Transportation and storage (H)",91300,869.08
2023-04-01,"Accommodation and food service activities (I)",185400,429.17
2023-04-01,"Information and communication (J)",112300,1580.68
2023-04-01,"Financial and insurance activities (K)",109800,1398.39
2023-04-01,"Real estate activities (L)",9500,802.14
2023-04-01,"Professional, scientific and technical activities (M)",130600,1114.51
2023-04-01,"Administrative and support service activities (N)",107100,717.85
2023-04-01,"Public administration and defence; compulsory social security (O)",175600,1098.04
2023-04-01,"Education (P)",202900,966.13
2023-04-01,"Human health and social work activities (Q)",306900,867.22
2023-04-01,"Arts, entertainment and recreation (R)",28300,635.19
2023-04-01,"Other service activities (S)",25300,591.97
2023-04-01,"Industry (B to E)",255600,1054.66
2023-04-01,"Electricity, water supply and waste management (D,E)",19700,1261.32
2023-04-01,"Financial, insurance and real estate activities (K,L)",119200,1345.38
2023-04-01,"Arts, entertainment, recreation and other service activities (R,S)",53500,609.85
2023-07-01,"Mining and quarrying (B)",4800,1243.62
2023-07-01,"Manufacturing (C)",237300,1047.04
2023-07-01,"Construction (F)",135000,930.37
2023-07-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",326400,684.02
2023-07-01,"Transportation and storage (H)",90500,858.6
2023-07-01,"Accommodation and food service activities (I)",191300,427.83
2023-07-01,"Information and communication (J)",113400,1566.93
2023-07-01,"Financial and insurance activities (K)",104500,1411.54
2023-07-01,"Real estate activities (L)",10700,826.45
2023-07-01,"Professional, scientific and technical activities (M)",134900,1136.7
2023-07-01,"Administrative and support service activities (N)",106200,717.32
2023-07-01,"Public administration and defence; compulsory social security (O)",165800,1096.49
2023-07-01,"Education (P)",204400,970.62
2023-07-01,"Human health and social work activities (Q)",309200,881.89
2023-07-01,"Arts, entertainment and recreation (R)",28600,670.78
2023-07-01,"Other service activities (S)",26200,593.44
2023-07-01,"Industry (B to E)",263200,1067.56
2023-07-01,"Electricity, water supply and waste management (D,E)",21200,1272.4
2023-07-01,"Financial, insurance and real estate activities (K,L)",115200,1357.84
2023-07-01,"Arts, entertainment, recreation and other service activities (R,S)",54800,634.44
2023-10-01,"Mining and quarrying (B)",3700,1176.87
2023-10-01,"Manufacturing (C)",234300,1044.98
2023-10-01,"Construction (F)",125400,926
2023-10-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",348500,673.49
2023-10-01,"Transportation and storage (H)",89800,882.96
2023-10-01,"Accommodation and food service activities (I)",190300,441.54
2023-10-01,"Information and communication (J)",105400,1612.73
2023-10-01,"Financial and insurance activities (K)",103600,1437.21
2023-10-01,"Real estate activities (L)",11700,803.43
2023-10-01,"Professional, scientific and technical activities (M)",139600,1130.04
2023-10-01,"Administrative and support service activities (N)",103500,752.85
2023-10-01,"Public administration and defence; compulsory social security (O)",173100,1106.84
2023-10-01,"Education (P)",214300,982.43
2023-10-01,"Human health and social work activities (Q)",312100,883.38
2023-10-01,"Arts, entertainment and recreation (R)",31100,653.46
2023-10-01,"Other service activities (S)",25900,628.7
2023-10-01,"Industry (B to E)",259400,1068.85
2023-10-01,"Electricity, water supply and waste management (D,E)",21400,1313.76
2023-10-01,"Financial, insurance and real estate activities (K,L)",115300,1374.69
2023-10-01,"Arts, entertainment, recreation and other service activities (R,S)",57000,640.19
2024-01-01,"Mining and quarrying (B)",4800,1082.31
2024-01-01,"Manufacturing (C)",234600,1076.89
2024-01-01,"Construction (F)",132900,988.14
2024-01-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",336500,700.62
2024-01-01,"Transportation and storage (H)",88400,880.52
2024-01-01,"Accommodation and food service activities (I)",182300,441.75
2024-01-01,"Information and communication (J)",109100,1662.5
2024-01-01,"Financial and insurance activities (K)",103900,1463.96
2024-01-01,"Real estate activities (L)",12700,759.23
2024-01-01,"Professional, scientific and technical activities (M)",148300,1148.14
2024-01-01,"Administrative and support service activities (N)",106300,747.61
2024-01-01,"Public administration and defence; compulsory social security (O)",175000,1132.49
2024-01-01,"Education (P)",210600,998.69
2024-01-01,"Human health and social work activities (Q)",306200,898.04
2024-01-01,"Arts, entertainment and recreation (R)",31600,650.03
2024-01-01,"Other service activities (S)",26500,609.41
2024-01-01,"Industry (B to E)",261900,1101.13
2024-01-01,"Electricity, water supply and waste management (D,E)",22500,1377.48
2024-01-01,"Financial, insurance and real estate activities (K,L)",116700,1389.55
2024-01-01,"Arts, entertainment, recreation and other service activities (R,S)",58000,638.32
2024-04-01,"Mining and quarrying (B)",5600,1043.54
2024-04-01,"Manufacturing (C)",247100,1079.34
2024-04-01,"Construction (F)",132000,1006.62
2024-04-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",321900,712.4
2024-04-01,"Transportation and storage (H)",99100,899.37
2024-04-01,"Accommodation and food service activities (I)",190000,442.84
2024-04-01,"Information and communication (J)",118000,1675.58
2024-04-01,"Financial and insurance activities (K)",101500,1482.58
2024-04-01,"Real estate activities (L)",12200,769.04
2024-04-01,"Professional, scientific and technical activities (M)",147100,1151.06
2024-04-01,"Administrative and support service activities (N)",105400,763.09
2024-04-01,"Public administration and defence; compulsory social security (O)",183700,1153.9
2024-04-01,"Education (P)",212800,1024.11
2024-04-01,"Human health and social work activities (Q)",323600,910.81
2024-04-01,"Arts, entertainment and recreation (R)",27200,662.28
2024-04-01,"Other service activities (S)",24800,602.2
2024-04-01,"Industry (B to E)",277700,1102.36
2024-04-01,"Electricity, water supply and waste management (D,E)",25000,1329.86
2024-04-01,"Financial, insurance and real estate activities (K,L)",113600,1397.2
2024-04-01,"Arts, entertainment, recreation and other service activities (R,S)",52000,628.19
2024-07-01,"Mining and quarrying (B)",6200,1050.72
2024-07-01,"Manufacturing (C)",243600,1091.23
2024-07-01,"Construction (F)",140000,986.17
2024-07-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",333700,709.54
2024-07-01,"Transportation and storage (H)",95200,923.95
2024-07-01,"Accommodation and food service activities (I)",207500,444.79
2024-07-01,"Information and communication (J)",117300,1705.81
2024-07-01,"Financial and insurance activities (K)",103400,1489.04
2024-07-01,"Real estate activities (L)",16000,856.44
2024-07-01,"Professional, scientific and technical activities (M)",148500,1153.84
2024-07-01,"Administrative and support service activities (N)",96200,771.5
2024-07-01,"Public administration and defence; compulsory social security (O)",186100,1149.56
2024-07-01,"Education (P)",208900,1044.13
2024-07-01,"Human health and social work activities (Q)",323700,929.66
2024-07-01,"Arts, entertainment and recreation (R)",33500,666.43
2024-07-01,"Other service activities (S)",22900,675.46
2024-07-01,"Industry (B to E)",276000,1117.75
2024-07-01,"Electricity, water supply and waste management (D,E)",26300,1382.85
2024-07-01,"Financial, insurance and real estate activities (K,L)",119400,1406.17
2024-07-01,"Arts, entertainment, recreation and other service activities (R,S)",56400,671.17
